SEASON,SEASON_TYPE,LINEUP,TEAM_ABB,GROUP_NAME,TEAM_ABBREVIATION,GP,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT
2015-16,Playoffs,M. Morris - T. Harris - R. Jackson - A. Drummond - K. Caldwell-Pope,DET,4,21.6,5.8,3.5,4.5,18.5,6.0,4.8,4.5,14.0,0,0
2015-16,Playoffs,L. James - J. Smith - K. Love - K. Irving - T. Thompson,CLE,20,18.6,6.8,7.1,5.7,14.4,4.2,4.3,3.4,15.2,0,0
2015-16,Playoffs,V. Carter - Z. Randolph - M. Barnes - T. Allen - J. Farmar,MEM,2,18.2,2.0,6.0,3.0,13.0,6.0,2.5,9.0,16.0,0,0
2015-16,Playoffs,K. Durant - R. Westbrook - S. Ibaka - A. Roberson - S. Adams,OKC,18,15.4,4.7,4.1,4.6,13.9,3.6,2.6,3.7,11.1,0,0
2015-16,Playoffs,A. Aminu - D. Lillard - M. Harkless - C. McCollum - M. Plumlee,POR,11,15.2,2.9,4.5,5.5,11.1,3.6,4.1,2.5,11.3,0,0
2015-16,Playoffs,C. Paul - J. Redick - D. Jordan - L. Mbah a Moute - B. Griffin,LAC,4,14.8,2.0,3.8,2.3,12.5,3.8,3.5,3.0,11.5,0,0
2015-16,Playoffs,D. Howard - T. Ariza - J. Harden - P. Beverley - D. Motiejunas,HOU,4,14.1,5.5,7.8,3.3,12.5,4.8,2.8,3.8,13.0,0,0
2015-16,Playoffs,J. Johnson - D. Wade - L. Deng - G. Dragic - H. Whiteside,MIA,10,13.9,1.6,4.0,2.6,13.2,4.7,2.1,2.4,11.4,0,0
2015-16,Playoffs,K. Korver - P. Millsap - A. Horford - J. Teague - K. Bazemore,ATL,10,13.6,5.9,3.5,5.0,12.4,4.0,4.2,3.4,10.2,0,0
2015-16,Playoffs,V. Carter - Z. Randolph - C. Andersen - M. Barnes - J. Farmar,MEM,2,13.5,2.0,1.0,1.5,4.0,5.5,0.0,4.5,8.0,0,0
2015-16,Playoffs,T. Duncan - T. Parker - L. Aldridge - D. Green - K. Leonard,SAS,10,13.1,3.8,1.9,4.6,10.6,2.2,1.9,2.9,7.6,0,0
2015-16,Playoffs,A. Jefferson - M. Williams - C. Lee - K. Walker - F. Kaminsky,CHA,5,12.6,4.8,1.8,2.2,12.0,2.6,4.2,2.4,8.8,0,0
2015-16,Playoffs,J. Johnson - D. Wade - L. Deng - G. Dragic - J. Winslow,MIA,3,12.4,2.7,2.7,2.3,11.3,3.7,6.3,4.0,9.3,0,0
2015-16,Playoffs,L. Scola - K. Lowry - D. DeRozan - D. Carroll - J. Valanciunas,TOR,3,11.7,4.0,1.7,1.3,8.0,2.3,1.0,2.3,8.7,0,0
2015-16,Playoffs,I. Mahinmi - M. Ellis - G. Hill - P. George - M. Turner,IND,5,11.4,3.2,1.0,4.4,10.0,4.2,3.8,2.8,7.6,0,0
2015-16,Playoffs,L. Scola - K. Lowry - D. DeRozan - D. Carroll - B. Biyombo,TOR,6,10.1,2.0,2.2,1.8,6.3,5.3,3.0,4.3,9.7,0,0
2015-16,Playoffs,D. Nowitzki - Z. Pachulia - R. Felton - J. Barea - W. Matthews,DAL,3,10.0,0.7,1.0,0.7,8.7,3.7,3.0,3.7,11.3,0,0
2015-16,Playoffs,K. Durant - R. Westbrook - S. Ibaka - D. Waiters - A. Roberson,OKC,6,9.8,4.3,3.7,5.0,10.7,2.5,1.5,3.2,8.7,0,0
2015-16,Playoffs,P. Pierce - J. Crawford - J. Redick - D. Jordan - A. Rivers,LAC,1,9.7,0.0,0.0,0.0,4.0,3.0,4.0,9.0,6.0,0,0
2015-16,Playoffs,J. Terry - D. Howard - C. Brewer - M. Beasley - J. Harden,HOU,1,9.4,0.0,3.0,0.0,4.0,5.0,0.0,4.0,4.0,0,0
2015-16,Playoffs,A. Johnson - J. Jerebko - E. Turner - I. Thomas - J. Crowder,BOS,4,9.2,3.0,2.5,1.8,7.5,3.8,3.0,3.3,7.0,0,0
2015-16,Playoffs,J. Redick - J. Green - D. Jordan - L. Mbah a Moute - A. Rivers,LAC,1,8.9,3.0,4.0,5.0,12.0,0.0,2.0,3.0,6.0,0,0
2015-16,Playoffs,K. Lowry - D. DeRozan - D. Carroll - P. Patterson - B. Biyombo,TOR,15,8.9,2.6,2.7,1.9,9.3,1.5,2.3,1.1,6.7,0,0
2015-16,Playoffs,C. Andersen - M. Barnes - L. Stephenson - J. Green - X. Munford,MEM,2,8.8,0.0,2.0,2.0,11.0,6.5,4.0,4.0,7.0,0,0
2015-16,Playoffs,K. Hinrich - K. Humphries - M. Muscala - T. Hardaway Jr. - L. Patterson,ATL,2,8.8,1.0,2.0,2.0,8.0,2.5,3.0,1.0,3.0,0,0
